Wavelength_1,Abs_1,Wavelength_2,Abs_2,Wavelength_3,Abs_3,Wavelength_4,Abs_4
1413,0.007405123,1413,0.007191604,1413,0.008926221,1413,0.0159983
1412,0.007439091,1412,0.007375132,1412,0.009162643,1412,0.016125515
1411,0.007211974,1411,0.007368445,1411,0.009137846,1411,0.015880788
1410,0.007049903,1410,0.00730634,1410,0.009134753,1410,0.015797373
1409,0.007421711,1409,0.007367208,1409,0.009155452,1409,0.016159421
1408,0.007552681,1408,0.00731063,1408,0.009103162,1408,0.016272547
1407,0.007682952,1407,0.007511224,1407,0.009281974,1407,0.016376777
1406,0.007603863,1406,0.007725269,1406,0.00944504,1406,0.016290525
1405,0.007488679,1405,0.007711146,1405,0.009431653,1405,0.016087314
1404,0.007625754,1404,0.007790281,1404,0.009472104,1404,0.016310306
1403,0.007392194,1403,0.007309498,1403,0.009072738,1403,0.016113991
1402,0.007421948,1402,0.007233846,1402,0.008996487,1402,0.016130835
1401,0.007828391,1401,0.00779405,1401,0.009562463,1401,0.016624393
1400,0.008204033,1400,0.0082812,1400,0.010092958,1400,0.017046301
1399,0.007830526,1399,0.00789703,1399,0.009729816,1399,0.016688114
1398,0.007495816,1398,0.007530872,1398,0.009314397,1398,0.016319821
1397,0.007506114,1397,0.007504165,1397,0.009298794,1397,0.016328072
1396,0.008061633,1396,0.00791572,1396,0.009679812,1396,0.016832404
1395,0.008459093,1395,0.00833376,1395,0.010030753,1395,0.017140944
1394,0.008142361,1394,0.008171007,1394,0.00987009,1394,0.01687842
1393,0.007797054,1393,0.007894446,1393,0.009693021,1393,0.016649783
1392,0.007996316,1392,0.008126932,1392,0.009912064,1392,0.016817819
1391,0.007912662,1391,0.007856567,1391,0.009633176,1391,0.016719643
1390,0.00785293,1390,0.007803617,1390,0.009504938,1390,0.016643759
1389,0.008048526,1389,0.008010713,1389,0.009772651,1389,0.016838511
1388,0.008478626,1388,0.008486519,1388,0.01018509,1388,0.017280264
1387,0.008432356,1387,0.008483931,1387,0.01023653,1387,0.017286029
1386,0.008024609,1386,0.00814091,1386,0.009950917,1386,0.016904579
1385,0.008051164,1385,0.008202503,1385,0.010022938,1385,0.017011976
1384,0.008215165,1384,0.008145527,1384,0.00998384,1384,0.017132031
1383,0.008519541,1383,0.008507267,1383,0.010385319,1383,0.017491041
1382,0.008926617,1382,0.00874428,1382,0.010506046,1382,0.017774377
1381,0.00875025,1381,0.008781496,1381,0.010466295,1381,0.017612116
1380,0.008637745,1380,0.008686705,1380,0.010407139,1380,0.01750573
1379,0.00835751,1379,0.008399655,1379,0.01018811,1379,0.017304508
1378,0.008347957,1378,0.008342231,1378,0.010143141,1378,0.017306583
1377,0.008288007,1377,0.008222393,1377,0.009987787,1377,0.017192028
1376,0.008300936,1376,0.008239963,1376,0.010007071,1376,0.017225964
1375,0.008420452,1375,0.008376721,1375,0.010153715,1375,0.017357957
1374,0.008530471,1374,0.008513127,1374,0.010283178,1374,0.017474495
1373,0.008598772,1373,0.008630193,1373,0.01040043,1373,0.017623007
1372,0.00863352,1372,0.008703105,1372,0.01053453,1372,0.017686822
1371,0.008622958,1371,0.008676643,1371,0.010418036,1371,0.017590337
1370,0.008600172,1370,0.008573451,1370,0.01030001,1370,0.017519394
1369,0.0086627,1369,0.00860635,1369,0.010397329,1369,0.017666196
1368,0.008884553,1368,0.008881964,1368,0.010619778,1368,0.017885873
1367,0.009175783,1367,0.009185064,1367,0.010937632,1367,0.01816925
1366,0.008953966,1366,0.00894588,1366,0.010719053,1366,0.017963944
1365,0.009102105,1365,0.009089601,1365,0.010891099,1365,0.018172299
1364,0.009205687,1364,0.009208912,1364,0.010980772,1364,0.018329881
1363,0.008930607,1363,0.008865055,1363,0.010713985,1363,0.017965293
1362,0.009228479,1362,0.009205607,1362,0.011051583,1362,0.018368416
1361,0.009326378,1361,0.009334868,1361,0.011129789,1361,0.018356912
1360,0.009189584,1360,0.009212376,1360,0.010975993,1360,0.018291811
1359,0.009307494,1359,0.009281155,1359,0.011065471,1359,0.018400714
1358,0.009243392,1358,0.009259708,1358,0.011047388,1358,0.018365959
1357,0.009068772,1357,0.008978806,1357,0.010741792,1357,0.018205529
1356,0.009022836,1356,0.008976878,1356,0.010808717,1356,0.018147873
1355,0.009078817,1355,0.00906412,1355,0.010875996,1355,0.018260006
1354,0.009008802,1354,0.009050403,1354,0.01076225,1354,0.018111788
1353,0.008954336,1353,0.009014114,1353,0.010747125,1353,0.018063078
1352,0.009089178,1352,0.009125897,1352,0.010872094,1352,0.018191114
1351,0.009149186,1351,0.009154923,1351,0.01089301,1351,0.018311467
1350,0.009147495,1350,0.009179908,1350,0.010911777,1350,0.018287085
1349,0.009068006,1349,0.008995139,1349,0.010765275,1349,0.018204935
1348,0.009112546,1348,0.009032192,1348,0.010799136,1348,0.018265218
1347,0.009115428,1347,0.009008353,1347,0.010741978,1347,0.018284736
1346,0.009004389,1346,0.008919879,1346,0.010689575,1346,0.01821495
1345,0.008943449,1345,0.008946065,1345,0.010695545,1345,0.0181689
1344,0.009026536,1344,0.009040439,1344,0.010768778,1344,0.018234333
1343,0.009075618,1343,0.009097241,1343,0.010857178,1343,0.018280795
1342,0.009123041,1342,0.009141626,1342,0.01091682,1342,0.018325994
1341,0.009234825,1341,0.009233793,1341,0.010988843,1341,0.018501919
1340,0.009307256,1340,0.00927055,1340,0.01101834,1340,0.018556135
1339,0.009240325,1339,0.009216395,1339,0.010950905,1339,0.018492058
1338,0.009214016,1338,0.009117543,1338,0.010912308,1338,0.018476743
1337,0.009244423,1337,0.009213196,1337,0.010977904,1337,0.018481281
1336,0.009255424,1336,0.009269148,1336,0.010965453,1336,0.018545546
1335,0.009227447,1335,0.009241726,1335,0.011004427,1335,0.018521395
1334,0.009208886,1334,0.009198627,1334,0.010964524,1334,0.018480524
1333,0.00936465,1333,0.009398586,1333,0.011054159,1333,0.018672751
